id,make,model,year,engine,horsepower,torque,acceleration,price
410,Aston Martin,DB11,2021,5.2,630,516,3.5,"205,000"
411,Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,"81,250"
412,Audi,RS7 Sportback,2022,4,591,590,3.5,"115,045"
413,BMW,M4 Competition,2021,3,503,479,3.9,"75,695"
414,Chevrolet,Camaro SS,2022,6.2,455,455,4.1,"42,000"
415,Dodge,Charger Hellcat,2021,6.2,717,650,3.6,"71,490"
416,Ferrari,F8 Tributo,2021,3.9,710,568,2.9,"274,280"
417,Ford,GT,2021,3.5,660,550,2.8,"500,000"
418,Jaguar,F-Type R,2021,5,575,516,3.5,"103,200"
419,Koenigsegg,Jesko Absolut,2022,5,1600,1106,2.1,"2,800,000"
420,Lexus,LC 500,2021,5,471,398,4.4,"93,050"
421,Lotus,Evija,2022,Electric,1973,1254,2.5,"2,750,000"
422,McLaren,GT,2022,4,612,465,3.2,"210,000"
423,Mercedes-Benz,AMG GT Black Series,2021,4,720,590,3.2,"326,050"
424,Porsche,Cayman GT4,2021,4,414,309,4.2,"102,500"
425,Lamborghini,Aventador,2021,6.5,770,531,2.8,"417,650"
426,Ferrari,Portofino,2021,3.9,591,560,3.3,"218,750"
427,Audi,TT RS,2022,2.5,394,354,3.6,"69,000"
428,McLaren,600LT Spider,2021,3.8,592,457,2.8,"256,500"
429,BMW,M4,2022,3,473,406,4.1,"72,800"
430,Mercedes-Benz,AMG C 63,2022,4,503,516,3.8,"70,000"
431,Chevrolet,Camaro SS 1LE,2021,6.2,455,455,4,"44,500"
432,Ford,Mustang Mach 1,2021,5,480,420,4,"51,000"
433,Nissan,370Z Nismo,2021,3.7,350,276,5.2,"45,000"
434,Aston Martin,Vantage,2021,4,503,505,3.5,"146,000"
435,Bugatti,Chiron,2022,8,1500,1180,2.4,"3,000,000"
436,Koenigsegg,Jesko,2021,5,1262,1106,2.5,"3,000,000"
437,Pagani,Huayra,2021,6,764,738,2.6,"2,600,000"
438,McLaren,Speedtail,2021,4,1035,848,2.5,"2,300,000"
439,Lamborghini,Sián,2021,6.5,819,531,2.8,"3,600,000"
440,Rimac,C_Two,2021,Electric,1914,1732,1.8,"2,400,000"
441,Porsche,Cayman,2022,2,300,280,4.9,"59,900"
442,Lamborghini,Aventador,2021,6.5,770,531,2.8,"393,695"
443,Ferrari,Portofino,2021,3.9,591,413,3.5,"215,000"
444,Audi,RS 5,2022,2.9,444,443,3.7,"75,100"
445,McLaren,GT,2021,4,620,465,3.1,"210,000"
446,BMW,Z4 M40i,2022,3,382,369,4.3,"63,700"
447,Mercedes-Benz,SLC 43,2020,3,385,384,4.6,"62,000"
448,Chevrolet,Camaro SS,2022,6.2,455,455,4.3,"42,500"
449,Ford,Mustang GT,2022,5,460,420,4.3,"36,120"
450,Nissan,370Z Nismo,2020,3.7,350,276,4.6,"45,790"
451,Aston Martin,Vantage,2022,4,503,505,3.6,"146,000"
452,Bentley,Continental GT,2021,4,626,664,3.3,"220,000"
453,Porsche,718 Boxster,2022,2,300,280,4.9,"62,000"
454,Lamborghini,Urus,2021,4,641,627,3.6,"222,004"
455,Ferrari,F8 Spider,2021,3.9,710,568,2.9,"280,000"
456,Audi,TT RS,2022,2.5,394,354,3.6,"69,900"
457,McLaren,570S,2021,3.8,562,443,2.9,"208,800"
458,BMW,M4,2022,3,473,406,4,"72,800"
459,Porsche,718 Cayman,2022,2,300,280,4.9,"60,500"
460,Lamborghini,Aventador,2021,6.5,730,509,2.9,"393,695"
461,Ferrari,SF90 Stradale,2022,4,986,590,2.5,"625,000"
462,Audi,RS5,2022,2.9,444,443,3.7,"75,100"
463,McLaren,GT,2021,4,612,465,3.2,"208,800"
464,BMW,M2,2022,3,405,406,4,"58,900"
465,Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.6,"229,000"
466,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,000"
467,Ford,GT,2022,3.5,660,550,3,"500,000"
468,Nissan,370Z Nismo,2020,3.7,350,276,5.2,"46,200"
469,Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.6,"71,000"
470,Aston Martin,DBS Superleggera,2021,5.2,715,663,3.2,"308,000"
471,Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,"80,500"
472,Jaguar,F-Type R,2021,5,575,516,3.5,"105,900"
473,Lotus,Evora GT,2020,3.5,416,317,3.8,"96,950"
474,Maserati,GranTurismo,2019,4.7,454,384,4.7,"150,980"
475,Porsche,Panamera Turbo S,2022,4,630,604,2.9,"180,800"
476,Lamborghini,Urus,2021,4,641,627,3.2,"218,000"
477,Aston Martin,Vantage,2021,4,503,505,3.5,"146,000"
478,Lotus,Evora,2021,3.5,416,317,3.8,"94,000"
479,Alfa Romeo,4C Spider,2020,1.7,237,258,4.1,"67,150"
480,Jaguar,F-Type,2022,3,380,339,4.9,"70,900"
481,Maserati,GranTurismo,2021,4.7,454,384,4.7,"134,300"
482,Porsche,Cayman GT4,2021,4,414,309,4.2,"100,200"
483,Audi,RS5 Coupe,2022,2.9,444,443,3.7,"76,450"
484,BMW,M2 Competition,2021,3,405,406,4,"58,900"
485,Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,"64,000"
486,Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"61,500"
487,Ford,GT,2021,3.5,647,550,2.8,"500,000"
488,Lexus,LC 500,2022,5,471,398,4.4,"92,950"
489,McLaren,570S,2022,3.8,562,443,3.1,"198,950"
490,Mercedes-AMG,C63 S Coupe,2021,4,503,516,3.7,"77,950"
491,Nissan,370Z Nismo,2021,3.7,350,276,4.9,"45,790"
492,Porsche,718 Boxster,2021,2,300,280,4.9,"62,000"
493,Lamborghini,Aventador S,2021,6.5,729,507,2.9,"417,826"
494,Ferrari,F8 Tributo,2021,3.9,710,568,2.9,"274,280"
495,Audi,TT RS Coupe,2021,2.5,394,354,3.6,"67,600"
496,BMW,M4 Coupe,2021,3,473,406,3.8,"71,800"
497,Acura,NSX,2021,3.5,573,476,2.7,"159,495"
498,Aston Martin,DBS Superleggera,2022,5.2,715,664,3.4,"314,500"
499,Bentley,Continental GT,2022,6,626,664,3.3,"214,425"
500,Bugatti,Chiron,2022,8,1500,1180,2.3,"3,000,000"
501,Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"71,490"
502,Jaguar,F-Type,2021,5,575,516,3.5,"105,900"
503,Koenigsegg,Jesko,2021,5,1280,1106,2.5,"2,800,000"
504,Lexus,LC 500,2021,5,471,398,4.4,"92,950"
505,Lotus,Evora GT,2021,3.5,416,317,3.8,"104,400"
506,Maserati,GranTurismo,2022,4.7,454,384,4.7,"150,980"
507,McLaren,Artura,2022,3,671,531,3,"225,000"
508,Pagani,Huayra,2021,6,764,738,2.6,"2,600,000"
509,Porsche,Cayman GT4,2022,4,414,309,4.2,"102,000"
510,Rimac,C_Two,2021,Electric,1914,1696,1.9,"2,400,000"
511,Rolls-Royce,Wraith,2021,6.8,624,605,4.4,"335,550"
512,Tesla,Model S Plaid,2021,Electric,1020,1050,1.9,"141,990"
513,Toyota,GR Supra,2022,3,382,368,3.9,"43,090"
514,TVR,Griffith,2021,5,500,420,3.9,"157,500"
515,Ultima,RS,2021,6.2,1200,1300,2.3,"220,000"
516,W Motors,Fenyr SuperSport,2022,3.8,800,723,2.7,"1,550,000"
517,Acura,NSX,2021,3.5,573,476,2.9,"157,500"
518,Aston Martin,DBS Superleggera,2022,5.2,715,663,3.2,"308,000"
519,Bentley,Continental GT,2021,6,626,664,3.6,"202,500"
520,Bugatti,Chiron,2021,8,1500,1180,2.3,"3,000,000"
521,Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"65,000"
522,Jaguar,F-Type,2021,3,380,339,4.9,"63,100"
523,Lexus,LC 500,2021,5,471,398,4.4,"92,950"
524,Lotus,Evija,2022,Electric,1973,1254,2.5,"2,600,000"
525,Maserati,GranTurismo,2021,4.7,454,384,4.8,"134,300"
526,Porsche,Taycan,2021,Electric,616,774,2.6,"185,000"
527,Rimac,C_Two,2022,Electric,1914,1696,1.9,"2,400,000"
528,Tesla,Model S Plaid,2022,Electric,1020,1050,1.98,"140,000"
529,McLaren,Artura,2022,3,671,531,3,"225,000"
530,Mercedes-Benz,AMG GT Black Series,2021,4,720,590,3.1,"325,000"
531,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000"
532,Ford,GT,2021,3.5,647,550,3,"500,000"
533,Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"307,820"
534,Jaguar,F-Type,2022,5,575,516,3.5,"103,200"
535,Dodge,Challenger SRT Hellcat Redeye,2021,6.2,797,707,3.5,"80,190"
536,Lotus,Evora GT,2022,3.5,416,317,3.8,"105,000"
537,Alfa Romeo,4C Spider,2020,1.8,237,258,4.1,"68,745"
538,Subaru,WRX STI,2022,2.5,310,290,5.2,"38,170"
539,Acura,NSX,2022,3.5,573,476,2.7,"157,500"
540,Koenigsegg,Jesko,2021,5,1280,1015,2.5,"2,800,000"
541,Tesla,Model S Plaid,2022,Electric,1020,1050,1.98,"139,990"
542,Bugatti,Chiron Super Sport 300+,2022,8,1578,1180,2.3,"5,200,000"
543,McLaren,Senna,2020,4,789,590,2.7,"1,500,000"
544,Porsche,Taycan Turbo S,2022,Electric,750,774,2.6,"185,000"
545,Mercedes-Benz,SLS AMG Black Series,2014,6.2,622,468,3.5,"275,000"
546,Lexus,LC 500,2022,5,471,398,4.4,"93,050"
547,Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,"65,000"
548,Audi,RS 7 Sportback,2022,4,591,590,3.5,"114,000"
549,Ford,GT,2022,3.5,660,550,3,"500,000"
550,BMW,M2 CS,2022,3,444,406,3.8,"84,595"
551,Porsche,Cayman GT4,2022,4,414,309,4.2,"102,550"
552,Lamborghini,Aventador,2022,6.5,770,531,2.8,"393,695"
553,Aston Martin,Vantage,2021,4,503,505,3.6,"146,000"
554,Lotus,Evora GT,2021,3.5,416,317,3.8,"96,950"
555,Porsche,Panamera Turbo S,2021,4,620,604,2.9,"180,000"
556,Lamborghini,Aventador S,2022,6.5,729,507,2.9,"460,247"
557,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000"
558,Audi,RS 6 Avant,2022,4,591,590,3.1,"110,045"
559,McLaren,570S,2021,3.8,562,443,3.1,"192,500"
560,BMW,M5,2022,4.4,600,553,3.2,"103,500"
561,Mercedes-Benz,AMG C 63 S,2021,4,503,516,3.7,"77,400"
562,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695"
563,Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"64,195"
564,Ford,GT,2021,3.5,660,550,3,"500,000"
565,Nissan,370Z Nismo,2020,3.7,350,276,5,"46,815"
566,Porsche,Cayman GT4,2021,4,414,309,4.2,"102,550"
567,Audi,TT RS,2021,2.5,394,354,3.6,"67,895"
568,Chevrolet,Corvette Z06,2023,5.5,625,650,2.6,"85,000"
569,Lamborghini,Urus,2022,4,641,626,3.2,"218,009"
570,Mercedes-Benz,AMG GT 63 S,2021,4,630,664,3.1,"162,900"
571,Ferrari,Portofino M,2022,3.9,612,560,3.5,"245,000"
572,Bugatti,Chiron,2021,8,1479,1180,2.5,"3,000,000"
573,Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"304,995"
574,Lotus,Evora GT,2021,3.5,416,317,3.8,"100,450"
575,Porsche,Cayman GT4,2022,4,414,309,4.2,"100,200"
576,Acura,NSX,2021,3.5,573,476,2.7,"157,500"
577,Lexus,LC,2021,5,471,398,4.4,"92,950"
578,Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"74,750"
579,Audi,RS7,2021,4,591,590,3.5,"114,000"
580,Bentley,Continental GT,2021,6,626,664,3.3,"218,400"
581,BMW,M5,2021,4.4,600,553,3.2,"103,500"
582,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695"
583,Dodge,Challenger Hellcat,2021,6.2,717,656,3.5,"70,595"
584,Ford,GT,2022,3.5,647,550,3,"500,000"
585,Jaguar,F-Type R,2021,5,575,516,3.5,"103,200"
586,Lamborghini,Aventador,2021,6.5,730,509,2.9,"393,695"
587,McLaren,570S,2021,3.8,562,443,3.1,"203,500"
588,Mercedes-Benz,SLS AMG,2015,6.2,583,479,3.6,"221,580"
589,Nissan,370Z Nismo,2020,3.7,350,276,4.7,"47,190"
590,Porsche,Boxster,2021,2,300,280,4.9,"62,000"
591,Porsche,718 Cayman,2022,2,300,280,4.9,"61,500"
592,Lamborghini,Aventador,2021,6.5,759,531,2.9,"393,695"
593,Ferrari,Roma,2021,3.9,612,561,3.3,"222,630"
594,Audi,RS 5,2022,2.9,444,442,3.5,"75,400"
595,McLaren,570S,2020,3.8,562,443,3.1,"208,000"
596,BMW,M2,2022,3,405,406,4.2,"58,900"
597,Mercedes-Benz,SL,2022,3,429,384,4.9,"96,250"
598,Chevrolet,Camaro,2021,6.2,455,455,4,"25,000"
599,Ford,GT,2022,3.5,660,550,3,"500,000"
600,Nissan,370Z Nismo,2021,3.7,350,276,5,"45,000"
601,Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"307,820"
602,Lotus,Evora GT,2021,3.5,416,317,3.8,"100,450"
603,Maserati,GranTurismo,2021,4.7,454,384,4.7,"134,300"
604,Porsche,Panamera,2022,2.9,325,331,5.2,"88,550"
605,Lamborghini,Urus,2021,4,641,627,3.6,"218,009"
606,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000"
607,Audi,RS 6,2022,4,591,590,3.5,"109,000"
608,McLaren,Artura,2022,3,671,531,3,"225,000"
609,Porsche,Taycan 4S,2021,Electric (93 kWh),429,472,3.8,"103,800"
610,Lamborghini,Aventador S,2021,6.5,730,509,2.9,"417,650"
611,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000"
612,Audi,RS 7,2022,4,591,590,3.5,"117,000"
613,McLaren,570S,2021,3.8,562,443,3.1,"192,500"
614,BMW,M4,2021,3,473,406,4,"72,800"
615,Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.5,"228,000"
616,Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,000"
617,Ford,GT,2021,3.5,660,550,3,"500,000"
618,Nissan,370Z Nismo,2021,3.7,350,276,5,"48,000"
619,Aston Martin,DBS Superleggera,2021,5.2,715,664,3.2,"307,820"
620,Lexus,LC 500,2021,5,471,398,4.4,"93,000"
621,Bentley,Continental GT,2021,4,626,664,3.3,"202,500"
622,Maserati,GranTurismo,2021,4.7,454,384,4.7,"150,980"
623,Tesla,Model S Plaid,2022,Electric (100 kWh),1020,1050,1.98,"131,190"
624,Rolls-Royce,Dawn,2021,6.6,563,605,4.3,"346,300"
625,Bugatti,Chiron Pur Sport,2021,8,1500,1180,2.3,"3,599,000"
626,McLaren,Senna,2019,4,789,590,2.7,"1,050,000"
627,Porsche,Panamera Turbo S E-Hybrid,2021,Hybrid (4.0),690,641,3,"186,350"
628,Acura,NSX,2021,3.5,573,476,2.7,"157,500"
629,Aston Martin,DB11,2021,4,503,498,3.7,"205,600"
630,Audi,RS7,2021,4,591,590,3.5,"114,000"
631,Bentley,Continental GT,2021,6,626,664,3.6,"201,000"
632,Bugatti,Chiron,2021,8,1500,1180,2.5,"3,000,000"
633,Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,"67,000"
634,Dodge,Challenger Hellcat,2021,6.2,717,656,3.5,"64,000"
635,Ferrari,812 Superfast,2021,6.5,789,530,2.8,"340,000"
636,Lamborghini,Aventador SVJ,2021,6.5,770,531,2.8,"517,770"
637,McLaren,600LT Spider,2021,3.8,592,457,2.8,"256,500"
638,Mercedes-AMG,GT Black Series,2021,4,720,590,3.1,"325,000"
639,Nissan,400Z,2023,3,400,350,4,"40,000"
640,Porsche,Cayman GT4,2021,4,414,309,4.2,"101,000"
641,Rimac,Nevera,2021,Electric,1914,1696,1.9,"2,400,000"
642,Rolls-Royce,Wraith,2021,6.8,624,605,4.4,"330,000"
643,Tesla,Model S Plaid,2021,Electric,1020,N/A,1.9,"139,990"
644,Toyota,Supra,2021,3,382,368,3.9,"43,000"
645,Porsche,718 Boxster,2021,2,300,280,4.9,"62,000"
646,Porsche,718 Boxster,2022,2,300,280,4.9,"62,000"
647,Lamborghini,Aventador S,2021,6.5,730,509,2.9,"417,826"
648,Ferrari,SF90 Stradale,2022,4,986,590,2.5,"625,000"
649,Audi,RS 7,2022,4,591,590,3.5,"114,000"
650,McLaren,Artura,2021,3,671,531,3,"225,000"
651,BMW,M2,2022,3,405,406,4.1,"58,900"
652,Mercedes-Benz,SLS AMG,2015,6.2,583,479,3.6,"221,580"
653,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695"
654,Ford,GT,2022,3.5,647,550,3,"500,000"
655,Nissan,370Z Nismo,2021,3.7,350,276,4.8,"45,000"
656,Dodge,Charger Hellcat,2021,6.2,707,650,3.6,"69,995"
657,Aston Martin,DBS Superleggera,2021,5.2,715,663,3.2,"305,000"
658,Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"75,000"
659,Audi,TT RS,2021,2.5,394,354,3.6,"68,000"
660,Bentley,Continental GT,2021,6,626,664,3.6,"203,825"
661,BMW,M5,2022,4.4,600,553,3.2,"103,500"
662,Chevrolet,Corvette Stingray,2021,6.2,495,470,2.9,"58,900"
663,Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"63,000"
664,Ford,Mustang GT,2022,5,460,420,4,"45,000"
665,Porsche,Cayman,2022,2,300,280,4.9,"59,900"
666,Lamborghini,Aventador,2021,6.5,770,531,2.8,"417,826"
667,Ferrari,Roma,2022,3.9,612,560,3.3,"222,630"
668,Audi,RS7,2022,4,591,590,3.5,"114,000"
669,McLaren,570S,2021,3.8,562,443,2.7,"204,995"
670,BMW,M4,2022,3,473,406,4.1,"71,800"
671,Mercedes-Benz,SLS AMG,2021,6.2,622,468,3.5,"243,600"
672,Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,000"
673,Ford,GT,2022,3.5,660,550,2.8,"500,000"
674,Nissan,370Z Nismo,2021,3.7,350,276,5,"47,190"
675,Porsche,Panamera,2022,2.9,325,331,5.4,"88,550"
676,Lamborghini,Urus,2021,4,641,627,3.2,"218,000"
677,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000"
678,Audi,RS6,2022,4,591,590,3.5,"113,000"
679,McLaren,Artura,2021,3,671,531,3,"225,000"
680,BMW,M2,2022,3,405,406,4,"58,900"
681,Mercedes-Benz,GT 63,2021,4,577,590,3.3,"161,200"
682,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000"
683,Aston Martin,DBS Superleggera,2021,5.2,715,663,3.2,"310,000"
684,Bugatti,Chiron,2022,8,1500,1180,2.4,"3,000,000"
685,Koenigsegg,Jesko,2021,5,1280,1106,2.5,"2,800,000"
686,Pagani,Huayra,2021,6,764,737,3,"2,600,000"
687,Rimac,C_Two,2022,N/A,1914,1696,1.85,"2,400,000"
688,McLaren,Senna,2021,4,789,590,2.7,"1,000,000"
689,Porsche,918 Spyder,2015,4.6,887,944,2.2,"1,800,000"
690,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000"
691,Lamborghini,Aventador SVJ,2020,6.5,759,531,2.8,"517,000"
692,Audi,RS 6 Avant,2021,4,591,590,3.5,"110,000"
693,Bentley,Continental GT Speed,2022,6,650,664,3.5,"300,000"
694,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"68,000"
695,Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"65,000"
696,Ford,GT,2021,3.5,660,550,2.9,"500,000"
697,Lexus,LC 500,2022,5,471,398,4.4,"92,000"
698,Lotus,Evija,2022,N/A,1972,1254,2.5,"2,700,000"
699,Mercedes-AMG,GT Black Series,2021,4,720,590,3.1,"330,000"
700,Aston Martin,DB11,2021,4,503,513,3.9,"205,000"
701,Bentley,Continental GT,2022,4,542,568,3.9,"229,000"
702,Jaguar,F-Type,2022,2,296,295,5.4,"62,750"
703,Lotus,Evora GT,2021,3.5,416,317,3.8,"100,000"
704,Maserati,GranTurismo,2021,4.7,454,384,4.7,"135,000"
705,Porsche,Boxster,2022,2,300,280,4.9,"63,000"
706,Alfa Romeo,4C,2020,1.8,237,258,4.2,"67,150"
707,Chevrolet,Camaro,2022,6.2,455,455,4,"62,195"
708,Dodge,Challenger,2022,3.6,305,268,6.4,"28,000"
709,Ford,GT,2022,3.5,660,550,2.9,"500,000"
710,Audi,RS7,2022,4,591,590,3.5,"115,045"
711,BMW,M4,2022,3,473,406,4.1,"71,800"
712,Lamborghini,Aventador,2021,6.5,729,507,2.9,"393,695"
713,Mercedes-Benz,AMG C 63,2021,4,469,479,3.8,"69,900"
714,Nissan,370Z,2021,3.7,350,276,5.3,"30,090"
715,Porsche,Cayman,2022,2,300,280,4.9,"68,000"
716,BMW,i8,2022,1.5,369,184,4.2,"147,500"
717,Chevrolet,Corvette Stingray,2021,6.2,495,470,2.9,"58,900"
718,Porsche,Taycan Turbo S,2022,Electric,750,774,2.6,"185,000"
719,Lamborghini,Aventador S,2021,6.5,729,507,2.9,"417,650"
720,Ferrari,SF90 Stradale,2022,4,986,590,2.5,"625,000"
721,Audi,RS7,2022,4,591,590,3.5,"115,000"
722,McLaren,GT,2022,4,620,465,3.1,"208,000"
723,BMW,M5,2022,4.4,600,553,3.2,"103,500"
724,Mercedes-Benz,SLS AMG,2021,4,730,590,2.9,"250,000"
725,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000"
726,Ford,GT,2022,3.5,660,550,2.8,"500,000"
727,Nissan,370Z Nismo,2021,3.7,350,276,5,"46,100"
728,Porsche,Panamera Turbo S,2022,4,630,604,3.1,"180,000"
729,Lamborghini,Urus,2021,4,641,627,3.2,"218,000"
730,Ferrari,Portofino,2022,3.9,591,561,3.4,"250,000"
731,Audi,TT RS,2022,2.5,394,354,3.6,"70,000"
732,McLaren,570S,2021,3.8,562,443,3.1,"200,000"
733,BMW,i8,2022,Hybrid,369,184,4.2,"148,500"
734,Porsche,718 Cayman,2022,2,300,280,4.9,"61,500"
735,Lamborghini,Aventador,2021,6.5,770,531,2.8,"417,826"
736,Ferrari,Portofino,2022,3.9,612,561,3.3,"245,000"
737,Audi,TT RS,2022,2.5,394,354,3.6,"67,800"
738,McLaren,GT,2022,4,620,465,3.1,"211,300"
739,BMW,M4,2022,3,473,406,4.1,"71,800"
740,Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.5,"222,500"
741,Chevrolet,Camaro SS,2022,6.2,455,455,4,"43,995"
742,Ford,GT,2022,3.5,660,550,2.9,"500,000"
743,Nissan,370Z Nismo,2021,3.7,350,276,4.8,"45,790"
744,Porsche,911 Turbo S,2022,3.8,640,590,2.6,"208,000"
745,McLaren,765LT,2021,4,755,590,2.8,"358,000"
746,Lamborghini,Urus,2021,4,641,627,3.6,"218,009"
747,Mercedes-AMG,GT Black Series,2021,4,720,590,3.1,"325,000"
748,BMW,M5 Competition,2022,4.4,617,553,3.1,"103,500"
749,Audi,RS7,2022,4,591,590,3.5,"115,000"
750,Aston Martin,Vantage,2022,4,503,505,3.5,"152,995"
751,Ferrari,F8 Spider,2021,3.9,710,568,2.9,"274,280"
752,Lexus,LC 500,2022,5,471,398,4.4,"102,550"
753,Porsche,Taycan,2022,N/A,469,479,3.8,"79,900"
754,Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,"517,770"
755,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000"
756,Audi,RS6 Avant,2021,4,591,590,3.5,"109,000"
757,McLaren,600LT Spider,2021,3.8,592,457,2.8,"256,500"
758,BMW,M4,2022,3,473,406,3.8,"71,800"
759,Mercedes-Benz,AMG GT R,2021,4,577,516,3.5,"180,000"
760,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695"
761,Ford,GT,2022,3.5,660,550,3,"500,000"
762,Nissan,370Z Nismo,2021,3.7,350,276,5,"48,000"
763,Porsche,Panamera Turbo S E-Hybrid,2021,4,690,642,3,"190,000"
764,Lamborghini,Urus,2021,4,641,627,3.5,"218,000"
765,Ferrari,Portofino M,2021,3.9,612,561,3.4,"235,000"
766,Audi,TT RS,2022,2.5,394,354,3.6,"67,600"
767,McLaren,Artura,2022,3,671,531,3,"225,000"
768,BMW,M2 CS,2022,3,444,406,3.8,"84,595"
769,Mercedes-Benz,SLS AMG Black Series,2021,6.2,622,468,3.5,"335,000"
770,Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,000"
771,Porsche,718 Boxster,2022,2,300,280,4.9,"63,000"
772,Lamborghini,Aventador SVJ,2020,6.5,759,531,2.8,"573,966"
773,Ferrari,SF90 Stradale,2022,4,986,590,2.5,"625,000"
774,Audi,TT RS Coupe,2022,2.5,394,354,3.5,"68,000"
775,McLaren,GT,2020,4,612,465,3.1,"210,000"
776,BMW,Z4 Roadster,2022,2,255,295,5.2,"50,000"
777,Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.6,"200,000"
778,Chevrolet,Camaro SS Convertible,2022,6.2,455,455,4,"49,000"
779,Ford,GT,2021,3.5,660,550,2.9,"500,000"
780,Nissan,370Z Coupe,2020,3.7,332,270,5,"30,090"
781,Aston Martin,Vantage,2021,4,503,505,3.6,"142,086"
782,Bentley,Continental GT,2022,6,626,664,3.3,"225,000"
783,Bugatti,Chiron,2021,8,1479,1180,2.4,"3,000,000"
784,Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"68,000"
785,Jaguar,F-Type,2022,2,296,295,5.4,"63,700"
786,Lotus,Evora GT,2021,3.5,416,317,3.8,"100,000"
787,Maserati,GranTurismo,2022,4.7,454,384,4.7,"150,980"
788,Aston Martin,DBS Superleggera,2021,5.2,715,664,3.2,"304,995"
789,Lotus,Evora GT,2021,3.5,416,317,3.8,"98,395"
790,Porsche,Panamera Turbo S E-Hybrid,2021,4,689,642,3,"190,000"
791,Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,"517,000"
792,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000"
793,Audi,RS7,2022,4,591,590,3.5,"117,000"
794,Mercedes-Benz,S63 AMG,2021,4,603,664,3.4,"168,000"
795,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,500"
796,Ford,GT,2021,3.5,660,550,2.8,"500,000"
797,Nissan,370Z Nismo,2021,3.7,350,276,4.7,"46,000"
798,Porsche,718 Cayman GT4,2022,4,414,309,4.2,"102,000"
799,Mercedes-AMG,C63 S Coupe,2021,4,503,516,3.7,"77,500"
800,Aston Martin,Vantage,2021,4,503,505,3.5,"147,000"
801,McLaren,570S,2021,3.8,562,443,3.1,"193,000"
802,BMW,M5,2022,4.4,600,553,3.2,"103,500"
803,Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"64,000"
804,Lexus,LC 500,2021,5,471,398,4.4,"92,950"
805,Mercedes-AMG,GT 63 S,2021,4,630,664,3.1,"162,000"
806,Audi,TT RS,2021,2.5,394,354,3.6,"67,600"
807,Acura,NSX,2021,3.5,573,476,2.9,"157,500"
808,Porsche,Cayman GT4,2021,4,414,309,4.2,"102,000"
809,Lamborghini,Aventador S,2021,6.5,730,509,2.9,"417,826"
810,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000"
811,Audi,RS 5,2022,2.9,444,443,3.5,"76,700"
812,McLaren,570S Spider,2020,3.8,562,443,3.1,"208,800"
813,BMW,M2 Competition,2022,3,405,406,4.2,"58,900"
814,Mercedes-Benz,C 63 AMG,2022,4,469,479,3.9,"69,000"
